,楼盘名称,项目别名,jd,wd
171,白象街27号,白象街小区,105.589860,29.400619
172,白象街2号,白象街小区,105.590264,29.401178
173,白象街31号,白象街小区,106.585266,29.555734
174,白象街32号,白象街小区,105.589259,29.400627
175,白象街3号,白象街小区,106.585334,29.556009
176,白象街43号,白象街小区,106.584565,29.555356
177,白象街47号,白象街小区,106.584496,29.555357
178,白象街4号,白象街小区,106.585578,29.555873
179,白象街5号,白象街小区,105.589375,29.400500
180,白象街65号,白象街小区,106.584320,29.554943
181,白象街67号,白象街小区,105.589005,29.399995
182,白象街6号,白象街小区,105.590200,29.401081
183,白象街82号,白象街小区,105.589515,29.400822
184,白象居,白象居,106.585192,29.556118
185,白欣路28号,阳光金城,106.370115,29.485945
186,白欣路29号,渝川世纪园,106.370912,29.483996
187,白欣路30号,荷塘月色,106.369691,29.484279
188,白欣路32号,志龙白市苑,106.368350,29.485614
189,白苑居,白苑居,106.584084,29.555292
190,白云大道200号,桓大东方国际,106.239517,29.464816
191,白云美镇,白云美镇;金树·白云美镇,,
192,百安花园,百安花园,108.430297,30.756839
193,百城康居,百城康居,106.628612,29.730210
194,百可山水苑,百可山水苑,106.414359,29.641317
195,百灵路1号,华瓯新界;金易E世界,106.491790,29.582837
196,百灵路2号,龙湖大城小院;大城小院,106.491725,29.584467
197,百年佳苑,百年佳苑,106.480142,29.594409
198,百年世家,百年世家;凤凰村,106.458792,29.574293
199,柏华街25号,恒通御景天都；御景天都,106.481768,29.464877
200,柏林路4号,柏林春江,107.866399,30.022211
201,斑竹村小区,斑竹村小区,106.415954,29.809871
202,斑竹林,斑竹林,106.276696,29.547283
203,斑竹巷,斑竹巷,106.251522,29.285732
204,搬运东村10号,,106.542189,29.490501
205,搬运东村117号,,106.542176,29.490475
206,搬运东村11号,,106.540911,29.489730
207,搬运东村12号,,106.541095,29.489787
208,搬运东村13号,,106.541190,29.489831
209,搬运东村14号,,106.541421,29.489961
210,搬运西村158号,搬运西村158号,106.540298,29.492371
211,半岛明珠,半岛明珠,106.277693,29.280662
212,半山公寓,半山公寓,106.653601,29.020438
213,半山国际名都,半山国际名都,108.374134,30.792926
214,半山华府,半山华府,106.524173,29.562399
215,半山七号,半山七号;半山七号一期,106.485120,29.542063
216,半山一村,,106.443381,29.478626
217,半山壹号,半山壹号,106.549902,29.455834
218,半月楼,半月楼,106.423095,29.822733
219,邦兴佳苑,邦兴佳苑,106.533893,29.605867
220,宝环路3号,隆鑫鸿府;隆鑫·鸿府;隆鑫·鸿府一期;隆鑫·鸿府二期,106.599187,29.648023
221,宝圣大道1022号,云湖花园,106.599873,29.671735
222,宝圣大道139号,天高鸿苑,106.589596,29.656395
223,宝圣大道21号,清河尚居,106.591123,29.652307
224,宝圣大道23号,渝北铂金时代;铂金时代(渝北),106.591418,29.653783
225,宝圣大道348号,湖山花园,106.592754,29.655781
226,宝圣大道466号,万科朗润园;朗润园,106.594212,29.658236
227,宝圣大道537号,云湖景苑,106.597148,29.669078
228,宝圣大道551号,学府佳园,106.596618,29.669797
229,宝圣大道571号,家合苑,106.596077,29.670080
230,宝圣大道599号,金鹏两江时光;两江时光,106.597824,29.670164
231,宝圣大道666号,万科渝园,106.596561,29.659908
232,宝圣大道902号,巴山夜雨,106.598790,29.668672
233,宝圣大道950号,番茄花园；龙德番茄花园,106.598629,29.670399
234,宝圣大道99号,在水一方;在水一方栖湖,106.600086,29.673200
235,宝圣东路299号,蓝色星空狮子座,106.607639,29.675489
236,宝圣东路88号,城北蓝色星空二期,106.610237,29.677602
237,宝圣东路小区,,106.612769,29.679041
238,宝圣湖别墅,,,
239,宝圣路80号,蓝色星空;蓝色星空金牛座,106.610420,29.677422
240,宝圣西路115号,海德花园,106.597202,29.682788
241,宝圣西路229号,海德小区,106.600531,29.684762
242,宝圣西路288号,万福佳苑,106.601454,29.683958
243,宝圣西路330号,聚祥居,106.602266,29.684563
244,宝圣西路380号,政委花园;政委集资楼,106.602820,29.685279
245,宝圣西路385号,东朝静园;渝北东朝静苑;东朝静苑,106.604963,29.687315
246,宝圣西路416号,宝圣西路416号,106.603536,29.685665
247,宝圣西路446号,宏泰苑,106.604100,29.686001
248,宝圣西路472号,林正橙堡;林正·远景;林正远景,106.606141,29.686906
249,宝圣支路89号,龙德悠彩郡;龙德·悠彩郡;悠彩郡,106.593534,29.654284
250,宝石路14号,枫桥水郡,106.589197,29.647919
251,宝石路1号,东原香山,106.593961,29.649810
252,宝石支路7号,华府春城;尚地华府春城,106.596839,29.651379
253,宝桐路101号,翠湖柳岸,106.604003,29.683939
254,宝桐路116号,宝桐路小区;圣园平伟商业步行街,106.605027,29.685904
255,宝桐路166号,曹明美集资楼,106.604370,29.686974
256,宝桐路172号,齐芳苑,106.604050,29.687507
257,宝桐路177号,凯圣佳园,106.603628,29.686493
258,宝桐路196号,宝桐路小区,106.604057,29.687829
259,宝桐路1号,圣湖天域;盛湖天域;圣湖天域二期,106.606813,29.679150
260,宝桐路201号,怡和佳苑;怡和佳园,106.603115,29.687391
261,宝桐路228号,宝桐花园,106.603160,29.689549
262,宝桐路2号,旭辉朗香郡（1期）；旭辉朗香郡；旭辉新里城；旭辉朗香郡二期；旭辉朗香郡臻园,106.609000,29.682371
263,宝桐路30号,堤岸春晓,106.607531,29.682451
264,宝桐路72号,东方紫竹苑,106.605656,29.684745
265,宝桐路9号,银鑫莲花半岛;银鑫·莲花半岛,106.605343,29.686374
266,宝桐一路555号,奔力乡间城,106.610040,29.688646
267,宝桐一路653号,兰亭水云涧;兰亭水云间,106.608800,29.683902
268,宝桐一路673号,华菲苑;华菲园;华翡苑,106.607331,29.683396
269,宝桐一路6号,海德盛世,106.603887,29.691118
270,宝桐一路9号,奔力上好家,106.604798,29.691730
271,宝铜路179号,小家碧玉,106.603542,29.687829
272,保利花半里,保利花半里二期;保利花半里一期,106.513283,29.513552
273,保利江上明珠,,106.509552,29.572150
274,保利小泉别墅,保利小泉;小泉别墅,106.564530,29.423363
275,北岸领秀,北岸领秀,106.646134,29.042241
276,北碚北京路小区,北京路小区,106.449640,29.674175
277,北碚电力小区,北碚电力小区集资房,106.406397,29.804082
278,北碚光荣村,北碚光荣村;光荣村,106.437719,29.822853
279,北碚吉林巷,北碚吉林巷;吉林巷,106.439259,29.830714
280,北碚解放北巷,,106.438370,29.829140
281,北碚静宁路小区,北碚静宁路小区,106.439480,29.828558
282,北碚辽宁路小区,北碚辽宁路小区,106.449640,29.674175
283,北碚南京路,,106.441369,29.830028
284,北碚人民路小区,,106.449640,29.674175
285,北碚上海路,,106.440715,29.830997
286,北碚上海路小区,,106.449640,29.674175
287,北碚胜利村,,106.453359,29.878756
288,北碚四联公寓,四联公寓；北碚四联公寓,106.441241,29.823901
289,北碚太原路小区,北碚太原路小区,106.449640,29.674175
290,北碚天津路,,106.441019,29.831503
291,北碚文星村,北碚文星村;文星村,106.434326,29.831918
292,北碚文星湾,,106.436094,29.832142
293,北碚钻石公寓,钻石公寓;海宇钻石公寓;城南钻石公寓,106.402577,29.800117
294,北滨二路536号,紫御江山一组团;紫御江山一期;紫御江山紫峰,106.573664,29.582755
295,北滨二路537号,紫御江山二组团;紫御江山二期;紫御江山二期御湾,106.571599,29.582887
296,北滨二路538号,紫御江山三组团;紫御江山三期;紫御江山三期熙岸,106.576475,29.595295
297,北滨路1285号,恒安翠湖澜郡;恒安·翠湖澜郡,108.364353,30.816882
298,北滨路76号,中央官邸,106.562067,29.572869
299,北滨太阳城1号,珠江太阳城A区,106.562826,29.570836
300,北滨一路288号,御龙天峰,106.541196,29.565973
301,北滨一路363号,江湾城国际公寓；招商江湾城,106.535213,29.559909
302,北滨一路528号,中海北滨华庭；中海北滨一号；北滨华庭；中海北滨1号天赋,106.488729,29.562621
303,北部时代名居,北部时代名居,106.523070,29.581860
304,北辰名都,北辰名都,106.530152,29.577048
305,北晨丽景,北晨丽景,106.395112,29.800588
306,北城二路78号,珠江国际;珠江太阳城B区,106.560720,29.572157
307,北城好望角,,106.269231,30.005714
308,北城佳苑,北城佳苑,106.246132,30.002858
309,北城丽景128号,北城丽景,106.235809,29.598104
310,北城路76号,珠江太阳城D区;珠江太阳城捌零公馆;捌零公馆;珠江太阳城中央公馆,106.563010,29.573660
311,北城路78号,珠江太阳城C区;珠江太阳城捌零公馆;捌零公馆;珠江太阳城中央公馆,106.561577,29.573225
312,北城栖院,北城栖苑;北城西苑;北城栖院,106.531564,29.583975
313,北城三路1号,五江花园,106.564514,29.574276
314,北城三路2号,工商局综合楼,106.564153,29.575123
315,北城商住楼,北城商住楼,106.595832,29.684650
316,北城天街15号,富力海洋广场,106.535396,29.580269
317,北城天街33号,东和城;东和花园,106.541134,29.580243
318,北城天街46号,九街高屋,106.543129,29.579674
319,北城天街4号,北岸星座,106.532191,29.576905
320,北城天街9号,海怡花园;海逸花园,106.542246,29.580035
321,北城天街小区,,106.538792,29.579894
322,北城新贵,,,
323,北城一路32号,中冶重庆早晨,106.564700,29.573120
324,北城优筑,,106.524811,29.603203
325,北大街小区,,108.168174,29.296044
326,北大资源博雅,北大资源·博雅;北大资源·博雅一期;北大资源·博雅二期,106.532528,29.649251
327,北斗路小区,,107.393628,29.698321
328,北斗支路7号,北斗家园,107.396430,29.697459
329,北固门,,106.256231,29.289476
330,北湖路小区,渝北两路北湖路小区,106.623626,29.710925
331,北湖支路小区,北湖支路小区,106.621417,29.712117
332,北环路143号,龙庭盛世,108.420022,31.200673
333,北环路90号,博赛豪庭,105.708297,29.701391
334,北欧花园别墅,,,
335,北欧乡村别墅,,106.363228,29.529343
336,北培中山路交易所楼,,106.437908,29.825857
337,北区路,,106.569250,29.561275
338,北区路51号,巴蜀大厦；巴蜀俊秀,106.559631,29.561871
339,北区路55号,盛世嘉园,106.561196,29.563001
340,北泉路150号,华福花园,106.426260,29.832350
341,北泉路158号,丽锦花园,106.425930,29.832440
342,北泉路257号,泰盛花园;泰胜花园,106.422979,29.832185
343,北泉路309号,云山花园,106.420097,29.832343
344,北泉路45号,桥头大厦,106.428562,29.832117
345,北泉路501号,北泉路501号,106.414496,29.831872
346,北泉路84号,麗锦雅舍;丽景雅舍;丽锦雅舍,106.427531,29.832552
347,北泉路小区,北泉路街道集资小区;北泉路小区;团山堡,106.425392,29.832218
348,北塔坪120号,巴黎公舍；巴黎公社,,
349,北团山一路1号,春光雅苑,106.425069,29.831703
350,贝迪家私城,贝迪家私城,106.564230,29.526690
351,贝迪龙庭,贝迪龙庭;贝迪龙庭2期,106.565030,29.526864
352,碚南大道12号,江北中学集资,106.402835,29.806800
353,碚南大道196号,红雨花园,106.406443,29.801976
354,碚南大道235号,金福花园,106.408261,29.801808
355,碚南大道2号,静宁家园,106.402359,29.806491
356,碚南大道359号,澜桥圣菲;湖岸雅筑澜桥圣菲;湖岸雅筑,106.410811,29.800982
357,碚南大道5号,双柏花园,106.403457,29.807443
358,碚峡东路11号,碚峡东路小区,106.443382,29.824598
359,碚峡东路12号,碚峡东路小区,106.443941,29.823900
360,碚峡东路58号,缙云花园,106.442990,29.824105
361,碚峡路126号,竟发花园；竞发花园；北碚竞发花园,106.441809,29.824485
362,碚峡路202号,碚峡路202号,106.440977,29.823419
363,碚峡路204号,碚峡路204号,106.439519,29.822297
364,碚峡路24号,北碚卢沟桥;卢沟桥小区,106.444492,29.828412
365,碚峡路345号,公交富民小区；富民小区,106.438348,29.817608
366,碚峡路55号,四联悦苑;四联·悦苑,106.444280,29.826970
367,碚峡路62号,碚峡路62号,106.444587,29.827722
368,碚峡路小区,,106.441088,29.823292
369,碚峡西路2号,陵江时代;时代景园;时代景苑;陵江时代景园;陵江时代景苑,106.441839,29.825523
370,碚峡西路5号,荷花池小区,106.441420,29.825330
371,碚峡西路小区,碚峡西路小区,106.440879,29.825895
372,碚峡巷73号,碚峡巷小区,106.441055,29.821538
373,必茂小区,必茂小区一区;必茂小区二区,106.663532,29.504539
374,碧景园,碧景园,106.505144,29.499893
375,碧水龙泉,,107.391390,29.705254
376,碧祥路3号,碧水云天,106.331518,29.613843
377,壁青北路689号,绿城上岛,106.237355,29.580019
378,壁青北路778号,宏康浩宇,106.235293,29.570060
379,璧青北路169号,天佑山水国际;天佑山水,106.240083,29.598390
380,璧青北路457号,康乐苑,106.238812,29.590975
381,璧青北路543号,祥和小区,106.238409,29.589523
382,璧青北路792号,渝康花园,106.235900,29.567601
383,璧山花市街小区,,105.754396,29.574440
384,璧山时代雅苑,,106.232013,29.578777
385,璧铜路65号,远林名苑,106.225780,29.595509
386,斌鑫大厦,汉渝路斌鑫大厦,106.473335,29.559988
387,斌鑫西城绿锦,斌鑫榕尚居;斌鑫西城绿锦,106.444719,29.447814
388,斌鑫中央国际公园,斌鑫中央国际公园;斌鑫逸城时光,106.443203,29.482240
389,滨港路39号,山水绿城,106.631774,29.711864
390,滨河大道7号,梦里水乡,106.670031,29.032766
391,滨河西路95号,皓宏阳光水岸,106.060006,29.849031
392,滨江大道二段186号,君临半山;君临半山二期,107.367548,29.724246
393,滨江大道二段48号,滨江国际花园,107.392513,29.710974
394,滨江大道二段88号,涪陵金科廊桥水岸,107.380787,29.715318
395,滨江大道二段8号,鼎盛时代,107.399692,29.710118
396,滨江丽景豪庭,滨江丽景;丽景豪庭,106.262307,29.987586
397,滨江路132号,华庭锦园;华庭锦源,106.120833,29.060167
398,滨江路219号,里面,106.118360,29.060486
399,滨江路2号,嘉悦江庭;嘉悦江庭一期;嘉悦江庭二期,108.159987,29.287124
400,滨江路小区,,106.247758,29.280643
401,滨江一号,,107.082820,29.160820
402,滨江怡苑,,106.248165,29.281438
403,滨江竹苑,滨江竹园,106.528762,29.566289
404,博文二路99号,融汇半岛九期,,
405,博盈学府,,106.253721,29.991975
406,步行街256号,庆隆花园,106.563907,29.526286
407,步阳小区,,107.378751,29.704681
408,材料所家属楼,材料所家属楼,,
409,财富大厦,财富大厦,106.509150,29.608295
410,财富中心,财富中心国际公寓;财富中心A座,106.512420,29.609530
411,财信小区,财信小区,106.558655,29.657552
412,财政局宿舍,,109.882129,31.080122
413,彩瑞苑,彩瑞苑,106.606847,29.541187
414,彩云大道8号,金茂悦;盘龙金茂悦;盘龙金茂悦一期,106.492340,29.506776
415,菜家石堡小区,,106.567823,29.550661
416,菜市街150-160号,菜市街小区,106.502436,28.995045
417,菜袁路168号,江湾国际花都;旭庆江湾国际花都;中庚香江美地;江屿朗廷,106.528944,29.537234
418,菜袁路196号,民新花园,106.527149,29.536214
419,菜袁路205号,世纪花城,106.522766,29.533619
420,菜袁路209号,新东福花园,106.523410,29.532522
421,菜袁路248号,,106.519238,29.532901
422,菜袁路26号,东泰城市派,106.547730,29.547789
423,菜袁路27号,世贸采博城,106.546349,29.546560
424,菜袁路小区,,106.546968,29.547484
425,蔡家石堡18号,蔡家石堡,106.567560,29.551931
426,蔡家石堡20号,蔡家石堡,106.567787,29.552095
427,蔡家石堡22号,蔡家石堡,106.567824,29.552141
428,蔡家石堡23号,蔡家石堡,106.567542,29.552217
429,蔡通路508号,中庚城,106.482609,29.735039
430,残联集资房,,,
431,沧白路17号,沧白大厦,106.580933,29.561791
432,沧白路38号,沧白路小区,106.581568,29.561962
433,沧白路46号,南国丽景,106.580997,29.562386
434,沧白路67号,沧白路小区,106.579998,29.561910
435,苍白路大厦,苍白路大厦,106.581153,29.561504
436,茶亭北路71号,,106.508813,29.540432
437,茶亭北路9号,,106.509474,29.539358
438,茶亭南路22号,重医茶亭小区,106.512617,29.538789
439,茶亭南路3号,茶亭小区,106.512914,29.538981
440,茶亭南路小区,茶亭小区,106.512658,29.539572
441,茶叶集团集资房,,106.538446,29.594068
442,茶园长安村,,106.305956,29.290019
443,茶园新区机关单位小区,,106.630776,29.490630
444,茶园新区上景新城,,106.659269,29.509209
445,昌州大道666号,润锦御珑山；御龙山,105.935139,29.363149
446,昌州大道6号,山水林涧,105.907722,29.361050
447,昌州大道888号,宇界维诗卡;永川宇界维诗卡,105.937803,29.363420
448,昌州大道东段899号,恒大翡翠华庭,105.946124,29.365131
449,长安村144号,长安家属区,106.549743,29.580570
450,长安丽都,长安郦都;长安丽都,106.547657,29.583094
451,长安丽锦苑,长安丽锦苑;丽锦苑,106.487989,29.569617
452,长安梅园,,107.420135,29.697254
453,长滨路118号,江枫雅筑,106.584082,29.554376
454,长滨路129号,富华大厦,106.582875,29.552187
455,长滨路136号,大唐诺亚;大唐·诺亚;大唐国际外事公寓,106.582336,29.551831
456,长滨路153号,凯瑞大厦；恺瑞大厦;君悦长滨；恺瑞酒店公寓,106.579614,29.550017
457,长滨路58号,东水门,106.587792,29.558916
458,长城路,,106.252470,29.276401
459,长大路1号,半山公馆;半山公馆二期;半山公馆一期;盾安半山公馆,106.487870,29.540024
460,长岛汇,,105.890617,29.341058
461,长风路338号,华贵沁园春;沁园春,106.282970,29.273553
